County,Voted Yes
Imperial,42.2
San Diego,39.9
Riverside,34.9
Orange,34.7
Los Angeles,51
San Bernardino,36
Ventura,38
Santa Barbara,42.7
San Luis Obispo,32.7
Kern,27.9
Monterey,44.8
Kings,26.2
Tulare,28.1
Inyo,30.6
Fresno,33.4
San Benito,37.3
Merced,32.8
Madera,25.4
Mono,33.2
Mariposa,23.2
Santa Cruz,51.2
Santa Clara,47.3
Stanislaus,30.7
Tuolumne,21.1
San Mateo,51.4
Alameda,59
Contra Costa,47.5
San Joaquin,35.3
Calaveras,19.9
Alpine,47.8
Amador,18.7
Sacramento,39.6
Solano,42.7
San Francisco,63.8
Marin,55.7
Sonoma,47.6
Napa,43.1
Yolo,45.1
Sutter,24.2
Placer,26.6
El Dorado,23.4
Nevada,34.8
Yuba,24.7
Sierra,24.2
Colusa,23.7
Lake,38.1
Mendocino,43.5
Glenn,19.8
Butte,29.8
Plumas,21.9
Lassen,12.5
Tehama,16.2
Humboldt,41.4
Trinity,24.3
Shasta,17.2
Modoc,15.3
Siskiyou,24.8
Del Norte,24
